title,firstName,lastName,genre,ensemble,popular
Canon in D,Johann,Pachelbel,Classical,v vc vp vh,t
Wedding March (Here Comes the Bride),Richard,Wagner,Classical,v vc vp vh,t
Summer from the Four Seasons,Antonio,Vivaldi,Classical,v vc vp vh,f
Spring from the Four Seasons,Antonio,Vivaldi,Classical,v vc vp vh,t
Winter from the Four Seasons,Antonio,Vivaldi,Classical,v vc vp vh,f
Autumn from the Four Seasons,Antonio,Vivaldi,Classical,v vc vp vh,f
Prelude from Cello Suite in G Major,Johann Sebastian,Bach,Classical,v vc vp vh,f
Air on G,Johann Sebastian,Bach,Classical,v vc vp,t
Sonata No. 1 in G minor,Johann Sebastian,Bach,Classical,v,f
Sonata No. 2 in A minor,Johann Sebastian,Bach,Classical,v,f
Partita No. 2 in D minor,Johann Sebastian,Bach,Classical,v,f
Partita No. 3 in E major,Johann Sebastian,Bach,Classical,v,f
Going Home (Theme from New World Symphony Second Movement),Antonín ,Dvořák,Classical,v vc vp,f
Eine Kleine Nachtmusik,Wolfgang Amadeus,Mozart,Classical,v vc,f
Music for the Royal Fireworks,George Frideric,Handel,Classical,v vc,f
Ave Maria,Franz,Schubert,Classical,v vc vp vh,t
The Arrival of the Queen of Sheba,George Frideric,Handel,Classical,v vc,t
Meditation from Thais,Jules,Massenet,Classical,v vc vp vh,t
Vienna Life Waltz,Johann,Strauss Jr.,Classical,v vc,f
The Skaters Waltz,Emil,Waldteufel,Classical,v vc,f
Merry Widow Waltz,Franz,Lehár,Classical,v vc,f
You and You Waltz,Johann,Strauss Jr.,Classical,v vc,f
Artist's Life,Johann,Strauss Jr.,Classical,v vc,f
Valse Lente,Léo,Delibes,Classical,v vc,f
Hungarian Dance No. 5,Johannes,Brahms,Classical,v vc,f
Krunk (The Crane),,Komitas,Classical,v,f
Flower Duet,Léo,Delibes,Classical,v vc vp vh,f
Dance of the Blessed Spirits,Christoph Willibald,Gluck,Classical,v vp vh,f
Jesu Joy of Man's Desiring,Johann Sebastian,Bach,Classical,v vc vp vh,t
On Wings of Song,Felix,Mendelssohn,Classical,v vp vh,f
"Adagio from Oboe Concerto, Movement II",Georg Philipp,Telemann,Classical,v vp vh,f
Musetta's Waltz from La Boheme,Giacomo,Puccini,Classical,v vp vh,f
Humming Chorus,Giacomo,Puccini,Classical,vp vh,f
Shenandoah,,Traditional,Traditional,vp vh,f
The Water is Wide,,Traditional,Traditional,v vp vh,f
Somewhere Far Away,,Traditional,Traditional,v vp vh,f
Be Thou My Vision,,Traditional,Traditional,v vp vh,f
To a Wild Rose,Edward,MacDowell,Classical,v vp vh,f
Le Cygne (The Swan),Camille,Saint-Saëns,Classical,v,f
Beautiful Dreamer,Stephan,Foster,Ballad,v vp vh,f
What a Wonderful World,George David,Weiss,R&B,v vp vh,f
Cavalleria Rusticana,Pietro,Mascagni,Classical,v vc vp vh,f
The Prayer,Carole Bayer,Sager,Classical,v vc vp vh,f
Grow Old With You,Adam,Sandler,Classical,v vp vh,f
Let's Stay Together,Al,Green,Classical,v,f
Part of Your World from Tangled,Alan,Menken,Classical,v vp vh,f
Beauty and the Beast,Alan,Menken,Classical,v vp vh,f
A Whole New World,Alan,Menken,Classical,v vp vh,f
Unchained Melody,Alex,North,Classical,v vc vp vh,t
Un-thinkable,Alicia,Keys,Classical,v vp,f
Best Day of My Life,,American Authors,Classical,v vp,f
Con te Partiro (Time to Say Goodbye),Andrea,Bocelli,Classical,v vp vh,f
"thank u, next",Ariana,Grande,Classical,v,f
A Time for Us,Henry,Mancini,Classical,v vc,f
God Only Knows,,"Beach Boys, The",Classical,v,f
All You Need is Love,,"Beatles, The",Classical,v vc vp vh,t
Here Comes the Sun,,"Beatles, The",Classical,v,t
In My Life,,"Beatles, The",Classical,v vp,f
Yesterday,,"Beatles, The",Classical,v vc vp,f
Wind Beneath My Wings,Bette,Midler,Classical,v,f
Halo,,Beyonce,Classical,v vc,f
She's Always a Woman to Me,Billy,Joel,Classical,v,f
Marry You,Bruno,Mars,Classical,v vc vp vh,t
You are the Reason,Calum,Scott,Pop,v vp,t
My Heart Will Go On,Céline ,Dion,Pop,v vp,f
That's the Way It Is,Céline ,Dion,Pop,v,f
A Sky Full of Stars,,Coldplay,Rock,v vp,f
Fix You,,Coldplay,Rock,v vc vp,f
Yellow,,Coldplay,Rock,v vp,f
Closer,,"Chainsmokers, The",Electronic,v,f
A Thousand Years,Christina,Perri,Pop,v vc vp vh,t
Move on Up,Curtis,Mayfield,R&B,v,f
Speechless,,Dan + Shay,Pop,v,f
That's Amore,Dean,Martin,Pop,v vc vp vh,f
I Don't Want to Miss a Thing,Diane,Warren,Pop,v,f
Streets,,Doja Cat,Hip Hop,v,f
Perfect,Ed,Sheeran,Pop,v vc vp vh,t
Tenerife Sea,Ed,Sheeran,Pop,v,f
Thinking Out Loud,Ed,Sheeran,Pop,v,f
Visiting Hours,Ed,Sheeran,Pop,v,f
O Sole Mio,Eduardo di,Capua,Classical,v,f
Your Song,Elton,John,Rock,v,f
Can You Feel the Love Tonight,Elton,John,Rock,v vp vh,f
Deborah's Theme,Ennio,Morricone,Classical,v,f
Fly Me to the Moon,Frank,Sinatra,Oldies,v vp vc,t
Moon River,Henry,Mancini,Oldies,v vp vc vh,t
Strangers in the Night,Frank,Sinatra,Oldies,v vp vc vh,t
The Lonely Shepherd,Gheorghe,Zamfir,Instrumental,v,f
This Woman's Work,Kate,Bush,Pop,v vp,f
Superstar,Keyshia,Cole,Hip Hop,v,f
The One,,Kodaline,Alternative/Indie,v,f
Honor Him from Gladiator,Hans,Zimmer,Film,v,f
Somewhere Over the Rainbow,Harold,Arlen,Ballad,v vp vh vc,f
On Eagles Wings,,Hymn,Hymn,v,f
Into Your Hands,,Hymn,Hymn,v,f
O Danny Boy,,Traditional (Irish),Folk,v,f
Humko Hamise Chura Lo from Mohabbatein,Jatni,Lalit,Bollywood,v,f
Stand by Me,Jerry,Lieber,Rock,v vc vp,f
Country Roads,John,Denver,Country,v,f
All of Me,John,Legend,R&B,v vp vh,f
They Don't Know,Jon,B.,R&B,v,f
Lift Every Voice and Sing,J. Rosamond,Johnson,Classical,v,f
Essence,Justin,Bieber,Pop,v,f
Talk,,Khalid,R&B,v,f
Despacito,Luis,Fonsi,Latin,v,f
Memories,,Maroon 5,Pop,v,f
Mad World,Michael,Andrews,Pop,v vp vc,f
Now That I Found You,Michael,Bolton,Pop,v,f
Smooth Criminal,Michael,Jackson,Pop,v,f
Oyfn Pripetchik,Michael,Warshawsky,Yiddish,v,f
This Will Be (An Everlasting Love),Natalie,Cole,R&B,v,f
Too Young,Natalie,Cole,R&B,v,f
Non Dimenticar,Nat King,Cole,Jazz,v vp,f
L-O-V-E,Nat King,Cole,Jazz,v vp vc,f
La Vita e Bella,Nicola,Piovani,Classical,v vp vh,f
Buongiorno Principessa,Nicola,Piovani,Classical,v vp vh,f
An Eisai Ena Asteri,Nikos,Vertis,Pop,v vp vh,f
It Might As Well Be Spring,Nina,Simone,R&B,v vp vh,f
Parla Piu Piano,Nino,Rota,Classical,v,f
Theme from Secret Garden,Rolf,Løvland,Film,v,f
At Last,Etta,James,R&B,v vc vp,f
Wifey,,Next,R&B,v,f
Edelweiss,Richard,Rodgers,Film,v vc vp vh,t
Reflecting Light,Sam,Phillips,Pop,v vc vp vh,f
La Vie en Rose,Robert,Chauvigny,Oldies,v vc vp vh,t
You Raise Me Up,Brendan,Graham,Pop,v,f
Imagine,John,Lennon,Rock,v vc vp vh,f
Almost Like Being in Love,,Lerner/Loewe,Pop,v,f
You and Me,,Lifehouse,Pop,v vc,f
The Rainbow Connection,Paul,Williams,Pop,v vc vp vh,f
You'll Be in My Heart from Tarzan,Phil,Collins,Rock,v vc vp vh,f
You're My Best Friend,,Queen,Rock,v,f
No Ordinary Love,,Sade,R&B,v,f
From this Moment On,Shania,Twain,Pop,v vp,f
Señorita,Camilla,Cabello,Pop,v,f
Kiss Me,,Sixpence None the Richer,,v vh vp,f
Leather and Lace,Stevie,Nicks,Pop,v vh vp,f
Send One Your Love,Stevie,Wonder,R&B,v,f
As,Stevie,Wonder,R&B,v,f
Kishi Bashi – This Must Be the Place,,Talking Heads,Alternative/Indie,v vc,f
Love Story,Taylor,Swift,Pop,v vp,t
Invisible String,Taylor,Swift,Pop,v,f
Anniversary,,Tony Toni Tone,R&B,v,f
Amazing Grace,,Traditional,Traditional,v,f
Hava Nagila,,Traditional (Israeli),Yiddish,v,f
Hevenu Shalom Aleichem,,Traditional (Israeli),Yiddish,v,f
Marry Me,Bruno,Mars,Pop,v vp vc vh,t
I Will Always Love You,Whitney,Houston,R&B,v,t
Happy,William,Pharrell,R&B,v,f
See You Again – Furious 7,Wiz,Khalifa,Hip-Hop,v,f
Merry-Go-Round of Life from Howl's Moving Castle,Joe,Hisaishi,Anime,v vp,f
Kimi o Nosete from Laputa,Joe,Hisaishi,Anime,v vp vc vh,f
Inochi no Namae from Spirited Away,Joe,Hisaishi,Anime,v vp vc vh,f
Kaze no Toori Michi from Totoro,Joe,Hisaishi,Anime,v,f
Tabiji from The Wind Rises,Joe,Hisaishi,Anime,v,f
Princess Mononoke Theme,Joe,Hisaishi,Anime,v,f
Kimi ga Yobu Namae from Natsume Yuujinchou,Yoshimori,Mokoto,Anime,v,f
Lilium from Elfen Lied,,MOKA,Anime,v vp vc vh,f
Agitato from Hunter x Hunter,Yoshihisa,Hirano,Anime,v,f
Lamentoso from Hunter x Hunter,Yoshihisa,Hirano,Anime,v,f
Hyori Ittai from Hunter x Hunter,Yoshihisa,Hirano,Anime,v vp,f
Zoldyck Family Theme from Hunter x Hunter,Yoshihisa,Hirano,Anime,v vp,f
Kingdom of Predators from Hunter x Hunter,Yoshihisa,Hirano,Anime,v,f
Hisoka's Theme from Hunter x Hunter,Yoshihisa,Hirano,Anime,v,f
Sis Puella Magica from Madoka Magica,Yuki,Kajiura,Anime,v,f
Cruel Angel's Thesis from Evangelion,Yoko,Takahashi,Anime,v vp vc vh,f
Kimi no Shiranai Monogatari from Bakemonogatari,,Supercell,Anime,v,f
Bloody Stream from Jojo's Bizarre Adventure,,Coda,Anime,v,f
Itoshii Hito E from Seirei no Moribito,Sachi,Tainaka,Anime,v vp,f
Nyan Cat Theme,,Daniwell,Anime,v,f
Let Me Hear from Parasyte,,Fear and Loathing in Las Vegas,Anime,v,f
Realize from Re:Zero,Konomi,Suzuki,Anime,v,f
Hikaru Nara from Your Lie in April,,Goose House,Anime,v,f
Secret Base from Anohana,Norihiko,Machida,Anime,v,f
Ue o Muite Arukou,Kyu,Sakamoto,Kayokyoku,v,f
Ookina Furudokei,Ken,Hirai,Japanese Pop,v,f
Guren no Yumiya from Attack on Titan,,Linked Horizon,Anime,v,f
Jiyuu from Tsubasa from Attack on Titan,,Linked Horizon,Anime,v vp,f
Intermezzo,Pietro,Mascagni,Classical,v vc,f
Trumpet Voluntary,Henry,Purcell,Classical,v vc,f
Andante,Franz,Schubert,Classical,v vc,f
Make You Feel My Love,,Adele,Rock,v vc vp vh,f
Living on a Prayer,Bon,Jovi,Rock,v vc,f
Can't Take My Eyes Off of You,Franki,Valli,Rock,v vc vp vh,f
Angel,Jack,Johnson,Alternative/Indie,v vc,f
Take a Bow,,Madonna,Pop,v vc,f
For Once in My Life,Orlando,Murden,R&B,v vc,f
Every Breath You Take,,"Police, The",Rock,v vc,f
Gymnopedie No. 1,Erik,Satie,Classical,v vh vp,f
Entr'acte from Carmen,Georges,Bizet,Classical,v vh vp,f
Theme from West World,Ramin,Rjawadi,Film,v vh vp,f
La Valse d'Amelie,Yann,Tiersen,Film,v vh vp,f
Theme from Game of Thrones,Ramin,Rjawadi,Film,v vh vp,f
Concerning Hobbits,Howard,Shore,Film,v vh vp,f
To Know Him is to Love Him,Amy,Winehouse,Pop,v vh vp vc,f
"Gavotte from ""Mignon""",Ambroise,Thomas,Classical,v vp vc,f
Gavotte in G Minor,Johann Sebastian,Bach,Classical,v vp vc,f
Giguetta in C Major,Johann Sebastian,Bach,Classical,v vp vc,f
Ave Maria,,Bach-Gounod,Classical,v vp,f
Adagio Religioso,Carl,Bohm,Classical,v vp,f
Rococco - Gavotte Gracieuse,Carl,Bohm,Classical,v vp,f
Bourée,George Frideric,Handel,Classical,v vp,f
Adagio,Ole,Bull,Classical,v vp,f
Country Dance,Carl Maria von,Weber,Classical,v vp,f
Clarity,,Zedd,Electronic,v vp,f
Dango Daikazoku from Clannad,Jun,Maeda,Anime,v vp,f
Euterpe from Guilty Crown,,EGOIST,Anime,v vp vh,f
Light's Theme from Death Note,Hideki,Taniuchi,Anime,v vp,f
L's Theme from Death Note,Hideki,Taniuchi,Anime,v vp,f
Misa no Uta from Death Note,Hideki,Taniuchi,Anime,v vp,f
Sekai no Yakusoku from Howl's Moving Castle,Joe,Hisaishi,Anime,v vp,f
One Summer's Day from Spirited Away,Joe,Hisaishi,Anime,v vp vh,f
Main Theme from Laputa,Joe,Hisaishi,Anime,v vp vh,f
Days Long Gone from Nausicaa,Joe,Hisaishi,Anime,v vp vh,f
Osenchi na Ayumi from Detective Conan,Katsuo,Ono,Anime,v vp vh,f
Ai Haibara Theme from Detective Conan,Katsuo,Ono,Anime,v vp vh,f
